color_pelo N/A | Groot
color_pelo Red | Daredevil
color_pelo White | Storm
color_pelo Red / Orange | Mystique
color_pelo Brown | Rocket Raccoon | Spider-Man
color_pelo Blond | Thor | Star-Lord | Hawkeye
color_pelo Auburn | Black Widow
color_pelo Brown / White | Nick Fury
color_pelo blond | Captain America
color_pelo Black | Wolverine | Gamora | Colossus | Punisher | Blade | Iron Man
color_pelo Yellow | Howard the Duck
color_pelo Green | Hulk
color_pelo No Hair | Thing | Deadpool | Ghost Rider | Drax the Destroyer